key	value	date
Fitness	578.3	2013
Entertainment	263.9	2013
Multi-Function	97.9	2013
Healthcare	428.1	2013
Enterprise	89.8	2013
Fitness	900.0	2014
Entertainment	436.9	2014
Multi-Function	252.8	2014
Healthcare	731.6	2014
Enterprise	176.2	2014
Fitness	1301.9	2015
Entertainment	796.9	2015
Multi-Function	974.1	2015
Healthcare	1147.3	2015
Enterprise	365.3	2015
Fitness	1728.6	2016
Entertainment	1332.3	2016
Multi-Function	2473.3	2016
Healthcare	1588.9	2016
Enterprise	615.4	2016
Fitness	2243.2	2017
Entertainment	2054.2	2017
Multi-Function	5051.4	2017
Healthcare	2186.3	2017
Enterprise	924.2	2017
Fitness	2972.7	2018
Entertainment	2850.5	2018
Multi-Function	9061.2	2018
Healthcare	2996.9	2018
Enterprise	1381.6	2018
