id,type,name,Com1,Com2,Com3,Com4,Com5,Com6,Com7,Dif1,Dif2,Dif3,Dif4,Dif5,Dif6,Dif7,DealSize


2,6,Quest Software (2012) - systems mgt and security software,-5000,-5000,-5000,-5000,10000,10000,10000,25000,25000,25000,25000,25000,25000,25000,27000
3,3,Perot Systems (2009) - cloud integration services and consulting,-5000,9000,9000,9000,9000,9000,9000,28000,28000,28000,28000,28000,28000,28000,27000
4,5, Kace (2010)- device discovery and management,-5000,-5000,7000,7000,7000,7000,7000,12000,12000,12000,12000,12000,12000,12000,9000
5,3,Scalent (2010) - cloud and data center management,-5000,-5000,9000,9000,9000,9000,9000,23000,23000,23000,23000,23000,23000,23000,9000
6,3, Boomi (2010) - Saas cloud application management,-5000,-5000,8000,8000,8000,8000,8000,20000,20000,20000,20000,20000,20000,20000,9000
7,4, Compellent (2011) - Mid-range fibre channel storage,-5000,-5000,-5000,6000,6000,6000,6000,3000,3000,3000,3000,3000,3000,3000,18000
8,2, SonicWall (2012) - Security appliances and management,-5000,-5000,-5000,-5000,8000,8000,8000,17000,17000,17000,17000,17000,17000,17000,27000
9,2, SecureWorks (2011) - SaaS managed security services,-5000,-5000,-5000,10000,10000,10000,10000,27000,27000,27000,27000,27000,27000,27000,18000
10,3, MakeTechnologies (2012) - Application modernization software and  services - most effective on open platforms including the cloud,-5000,-5000,-5000,-5000,7000,7000,7000,23000,23000,23000,23000,23000,23000,23000,9000
11,1, StatSoft (2014) - Predictive analytics,-5000,-5000,-5000,-5000,-5000,-5000,9000,21000,21000,21000,21000,21000,21000,21000,9000
12,3, Enstratius (2013) - Cloud infrastructure management,-5000,-5000,-5000,-5000,-5000,8000,8000,22000,22000,22000,22000,22000,22000,22000,9000
13,3, Credant Technologies (2012) - Data protection from endpoints to storage to cloud,-5000,-5000,-5000,-5000,8000,8000,8000,25000,25000,25000,25000,25000,25000,25000,9000
14,2, AppAssure (2012) - Server/data/app backup and recovery for virtual/physical/cloud infrastructures,-5000,-5000,-5000,-5000,9000,9000,9000,24000,24000,24000,24000,24000,24000,24000,9000
15,3, Gale Technologies (2012) - Deployment and infrastructure management for on-premise and hybrid clouds,-5000,-5000,-5000,-5000,8000,8000,8000,24000,24000,24000,24000,24000,24000,24000,9000
16,3, InSite One (2010) - cloud-based medical archiving,-5000,-5000,7000,7000,7000,7000,7000,26000,26000,26000,26000,26000,26000,26000,9000
17,3, Clerity Solutions (2012) - Application modernization and rehosting,-5000,-5000,-5000,-5000,9000,9000,9000,26000,26000,26000,26000,26000,26000,26000,9000
18,3, Wyse Technology (2012) - Thin client solutions with desktop virtualization and cloud,-5000,-5000,-5000,-5000,6000,6000,6000,19000,19000,19000,19000,19000,19000,19000,18000
19,4, Allin Microsoft Services (2009) - Design for scalable networks and application architectures,-5000,4000,4000,4000,4000,4000,4000,22000,22000,22000,22000,22000,22000,22000,9000
20,2, MessageOne (2008) - SaaS for compliance and disaster recovery,7000,7000,7000,7000,7000,7000,7000,19000,19000,19000,19000,19000,19000,19000,9000
21,4, The Networked Storage Company (2008) - Transitioning storage network infrastructure,4000,4000,4000,4000,4000,4000,4000,17000,17000,17000,17000,17000,17000,17000,9000
22,4, Ocarina Networks (2010) - Storage compression and de-duplication,-5000,-5000,6000,6000,6000,6000,6000,20000,20000,20000,20000,20000,20000,20000,9000
23,4, Exanet (2010) - Clustered network-attached storage,-5000,-5000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,9000
24,4, ForceTen (2011) - Data centre networking - switches and routers,-5000,-5000,-5000,6000,6000,6000,6000,7000,7000,7000,7000,7000,7000,7000,18000
25,4, RNA Networks (2011) - Server and memory virtualization technology,-5000,-5000,-5000,8000,8000,8000,8000,19000,19000,19000,19000,19000,19000,19000,9000
42,4,EqualLogic (2008) - iSCSI,7000,7000,7000,7000,7000,7000,7000,2000,2000,2000,2000,2000,2000,2000,27000
